"","Month","ATC2","Cost","Concession","Type","ATC1"
"1",1991 Jul,"H02",317384,"Concessional","Co-payments","H"
"2",1991 Aug,"H02",269891,"Concessional","Co-payments","H"
"3",1991 Sep,"H02",269703,"Concessional","Co-payments","H"
"4",1991 Oct,"H02",280418,"Concessional","Co-payments","H"
"5",1991 Nov,"H02",268070,"Concessional","Co-payments","H"
"6",1991 Dec,"H02",277139,"Concessional","Co-payments","H"
"7",1992 Jan,"H02",221772,"Concessional","Co-payments","H"
"8",1992 Feb,"H02",272345,"Concessional","Co-payments","H"
"9",1992 Mar,"H02",325700,"Concessional","Co-payments","H"
"10",1992 Apr,"H02",349271,"Concessional","Co-payments","H"
"11",1992 May,"H02",319022,"Concessional","Co-payments","H"
"12",1992 Jun,"H02",331892,"Concessional","Co-payments","H"
"13",1992 Jul,"H02",350190.5,"Concessional","Co-payments","H"
"14",1992 Aug,"H02",307862.51,"Concessional","Co-payments","H"
"15",1992 Sep,"H02",306801.89,"Concessional","Co-payments","H"
"16",1992 Oct,"H02",284740.15,"Concessional","Co-payments","H"
"17",1992 Nov,"H02",272499.09,"Concessional","Co-payments","H"
"18",1992 Dec,"H02",300633.94,"Concessional","Co-payments","H"
"19",1993 Jan,"H02",224586.91,"Concessional","Co-payments","H"
"20",1993 Feb,"H02",308223.94,"Concessional","Co-payments","H"
"21",1993 Mar,"H02",396635.72,"Concessional","Co-payments","H"
"22",1993 Apr,"H02",381102.73,"Concessional","Co-payments","H"
"23",1993 May,"H02",379325.28,"Concessional","Co-payments","H"
"24",1993 Jun,"H02",382248.23,"Concessional","Co-payments","H"
"25",1993 Jul,"H02",376396.55,"Concessional","Co-payments","H"
"26",1993 Aug,"H02",364266.74,"Concessional","Co-payments","H"
"27",1993 Sep,"H02",347719.93,"Concessional","Co-payments","H"
"28",1993 Oct,"H02",329953.55,"Concessional","Co-payments","H"
"29",1993 Nov,"H02",326572.35,"Concessional","Co-payments","H"
"30",1993 Dec,"H02",379219.08,"Concessional","Co-payments","H"
"31",1994 Jan,"H02",248425.24,"Concessional","Co-payments","H"
"32",1994 Feb,"H02",359137.89,"Concessional","Co-payments","H"
"33",1994 Mar,"H02",469715.27,"Concessional","Co-payments","H"
"34",1994 Apr,"H02",435986.82,"Concessional","Co-payments","H"
"35",1994 May,"H02",457221.35,"Concessional","Co-payments","H"
"36",1994 Jun,"H02",451566.77,"Concessional","Co-payments","H"
"37",1994 Jul,"H02",425052.12,"Concessional","Co-payments","H"
"38",1994 Aug,"H02",464208.15,"Concessional","Co-payments","H"
"39",1994 Sep,"H02",420190.8,"Concessional","Co-payments","H"
"40",1994 Oct,"H02",379426.14,"Concessional","Co-payments","H"
"41",1994 Nov,"H02",364201.05,"Concessional","Co-payments","H"
"42",1994 Dec,"H02",368619.6,"Concessional","Co-payments","H"
"43",1995 Jan,"H02",317341.29,"Concessional","Co-payments","H"
"44",1995 Feb,"H02",417123.73,"Concessional","Co-payments","H"
"45",1995 Mar,"H02",516763.54,"Concessional","Co-payments","H"
"46",1995 Apr,"H02",489706.85,"Concessional","Co-payments","H"
"47",1995 May,"H02",500036.12,"Concessional","Co-payments","H"
"48",1995 Jun,"H02",486344.92,"Concessional","Co-payments","H"
"49",1995 Jul,"H02",467874.17,"Concessional","Co-payments","H"
"50",1995 Aug,"H02",496444.39,"Concessional","Co-payments","H"
"51",1995 Sep,"H02",440496.43,"Concessional","Co-payments","H"
"52",1995 Oct,"H02",446285.55,"Concessional","Co-payments","H"
"53",1995 Nov,"H02",402481,"Concessional","Co-payments","H"
"54",1995 Dec,"H02",411473.13,"Concessional","Co-payments","H"
"55",1996 Jan,"H02",365723.58,"Concessional","Co-payments","H"
"56",1996 Feb,"H02",468511.24,"Concessional","Co-payments","H"
"57",1996 Mar,"H02",527891.83,"Concessional","Co-payments","H"
"58",1996 Apr,"H02",541263.71,"Concessional","Co-payments","H"
"59",1996 May,"H02",549728.74,"Concessional","Co-payments","H"
"60",1996 Jun,"H02",496404.86,"Concessional","Co-payments","H"
"61",1996 Jul,"H02",535551.79,"Concessional","Co-payments","H"
"62",1996 Aug,"H02",485651.71,"Concessional","Co-payments","H"
"63",1996 Sep,"H02",460294.44,"Concessional","Co-payments","H"
"64",1996 Oct,"H02",445397.88,"Concessional","Co-payments","H"
"65",1996 Nov,"H02",398826.48,"Concessional","Co-payments","H"
"66",1996 Dec,"H02",437050.46,"Concessional","Co-payments","H"
"67",1997 Jan,"H02",336154.08,"Concessional","Co-payments","H"
"68",1997 Feb,"H02",416998.36,"Concessional","Co-payments","H"
"69",1997 Mar,"H02",465685.8,"Concessional","Co-payments","H"
"70",1997 Apr,"H02",496786.6,"Concessional","Co-payments","H"
"71",1997 May,"H02",507408.48,"Concessional","Co-payments","H"
"72",1997 Jun,"H02",492691.52,"Concessional","Co-payments","H"
"73",1997 Jul,"H02",502160.84,"Concessional","Co-payments","H"
"74",1997 Aug,"H02",457185.99,"Concessional","Co-payments","H"
"75",1997 Sep,"H02",455724.4,"Concessional","Co-payments","H"
"76",1997 Oct,"H02",426462.16,"Concessional","Co-payments","H"
"77",1997 Nov,"H02",372089.58,"Concessional","Co-payments","H"
"78",1997 Dec,"H02",416726.76,"Concessional","Co-payments","H"
"79",1998 Jan,"H02",293636.73,"Concessional","Co-payments","H"
"80",1998 Feb,"H02",438793.95,"Concessional","Co-payments","H"
"81",1998 Mar,"H02",504723.55,"Concessional","Co-payments","H"
"82",1998 Apr,"H02",507976.84,"Concessional","Co-payments","H"
"83",1998 May,"H02",504543.76,"Concessional","Co-payments","H"
"84",1998 Jun,"H02",511884.77,"Concessional","Co-payments","H"
"85",1998 Jul,"H02",514712.41,"Concessional","Co-payments","H"
"86",1998 Aug,"H02",454752.18,"Concessional","Co-payments","H"
"87",1998 Sep,"H02",478357.93,"Concessional","Co-payments","H"
"88",1998 Oct,"H02",427061.38,"Concessional","Co-payments","H"
"89",1998 Nov,"H02",395682.92,"Concessional","Co-payments","H"
"90",1998 Dec,"H02",421442.24,"Concessional","Co-payments","H"
"91",1999 Jan,"H02",324866.55,"Concessional","Co-payments","H"
"92",1999 Feb,"H02",453131,"Concessional","Co-payments","H"
"93",1999 Mar,"H02",623693.42,"Concessional","Co-payments","H"
"94",1999 Apr,"H02",544128.83,"Concessional","Co-payments","H"
"95",1999 May,"H02",576471.37,"Concessional","Co-payments","H"
"96",1999 Jun,"H02",604120.54,"Concessional","Co-payments","H"
"97",1999 Jul,"H02",594630.35,"Concessional","Co-payments","H"
"98",1999 Aug,"H02",584193.16,"Concessional","Co-payments","H"
"99",1999 Sep,"H02",556930.76,"Concessional","Co-payments","H"
"100",1999 Oct,"H02",499290.01,"Concessional","Co-payments","H"
"101",1999 Nov,"H02",472706.19,"Concessional","Co-payments","H"
"102",1999 Dec,"H02",460185.96,"Concessional","Co-payments","H"
"103",2000 Jan,"H02",356280.61,"Concessional","Co-payments","H"
"104",2000 Feb,"H02",508084.6,"Concessional","Co-payments","H"
"105",2000 Mar,"H02",595834.58,"Concessional","Co-payments","H"
"106",2000 Apr,"H02",589249.1,"Concessional","Co-payments","H"
"107",2000 May,"H02",607067.57,"Concessional","Co-payments","H"
"108",2000 Jun,"H02",616232.32,"Concessional","Co-payments","H"
"109",2000 Jul,"H02",643942.57,"Concessional","Co-payments","H"
"110",2000 Aug,"H02",581319.26,"Concessional","Co-payments","H"
"111",2000 Sep,"H02",500185.89,"Concessional","Co-payments","H"
"112",2000 Oct,"H02",507479.56,"Concessional","Co-payments","H"
"113",2000 Nov,"H02",448306.12,"Concessional","Co-payments","H"
"114",2000 Dec,"H02",432780.45,"Concessional","Co-payments","H"
"115",2001 Jan,"H02",412591.38,"Concessional","Co-payments","H"
"116",2001 Feb,"H02",469202.46,"Concessional","Co-payments","H"
"117",2001 Mar,"H02",651706.69,"Concessional","Co-payments","H"
"118",2001 Apr,"H02",602936.07,"Concessional","Co-payments","H"
"119",2001 May,"H02",629696.64,"Concessional","Co-payments","H"
"120",2001 Jun,"H02",573322.61,"Concessional","Co-payments","H"
"121",2001 Jul,"H02",624872.95,"Concessional","Co-payments","H"
"122",2001 Aug,"H02",587646.02,"Concessional","Co-payments","H"
"123",2001 Sep,"H02",501808.19,"Concessional","Co-payments","H"
"124",2001 Oct,"H02",520655.61,"Concessional","Co-payments","H"
"125",2001 Nov,"H02",506949.41,"Concessional","Co-payments","H"
"126",2001 Dec,"H02",401470.45,"Concessional","Co-payments","H"
"127",2002 Jan,"H02",456678.83,"Concessional","Co-payments","H"
"128",2002 Feb,"H02",538055.16,"Concessional","Co-payments","H"
"129",2002 Mar,"H02",611522.53,"Concessional","Co-payments","H"
"130",2002 Apr,"H02",639298.53,"Concessional","Co-payments","H"
"131",2002 May,"H02",678837.2,"Concessional","Co-payments","H"
"132",2002 Jun,"H02",607349.85,"Concessional","Co-payments","H"
"133",2002 Jul,"H02",657001.21,"Concessional","Co-payments","H"
"134",2002 Aug,"H02",570090.88,"Concessional","Co-payments","H"
"135",2002 Sep,"H02",555494.29,"Concessional","Co-payments","H"
"136",2002 Oct,"H02",495911.92,"Concessional","Co-payments","H"
"137",2002 Nov,"H02",426940.53,"Concessional","Co-payments","H"
"138",2002 Dec,"H02",413434.61,"Concessional","Co-payments","H"
"139",2003 Jan,"H02",413351.4,"Concessional","Co-payments","H"
"140",2003 Feb,"H02",537688.57,"Concessional","Co-payments","H"
"141",2003 Mar,"H02",622591.13,"Concessional","Co-payments","H"
"142",2003 Apr,"H02",623413.08,"Concessional","Co-payments","H"
"143",2003 May,"H02",666864.2,"Concessional","Co-payments","H"
"144",2003 Jun,"H02",643355.23,"Concessional","Co-payments","H"
"145",2003 Jul,"H02",656457.93,"Concessional","Co-payments","H"
"146",2003 Aug,"H02",578694.07,"Concessional","Co-payments","H"
"147",2003 Sep,"H02",615519.39,"Concessional","Co-payments","H"
"148",2003 Oct,"H02",559134.47,"Concessional","Co-payments","H"
"149",2003 Nov,"H02",458283.28,"Concessional","Co-payments","H"
"150",2003 Dec,"H02",471976.19,"Concessional","Co-payments","H"
"151",2004 Jan,"H02",399357.27,"Concessional","Co-payments","H"
"152",2004 Feb,"H02",607269.42,"Concessional","Co-payments","H"
"153",2004 Mar,"H02",722363.18,"Concessional","Co-payments","H"
"154",2004 Apr,"H02",698916.93,"Concessional","Co-payments","H"
"155",2004 May,"H02",695889.24,"Concessional","Co-payments","H"
"156",2004 Jun,"H02",681313.98,"Concessional","Co-payments","H"
"157",2004 Jul,"H02",684207.46,"Concessional","Co-payments","H"
"158",2004 Aug,"H02",590261.14,"Concessional","Co-payments","H"
"159",2004 Sep,"H02",589789,"Concessional","Co-payments","H"
"160",2004 Oct,"H02",546472,"Concessional","Co-payments","H"
"161",2004 Nov,"H02",497035,"Concessional","Co-payments","H"
"162",2004 Dec,"H02",452856,"Concessional","Co-payments","H"
"163",2005 Jan,"H02",398898,"Concessional","Co-payments","H"
"164",2005 Feb,"H02",541557,"Concessional","Co-payments","H"
"165",2005 Mar,"H02",623416,"Concessional","Co-payments","H"
"166",2005 Apr,"H02",627776,"Concessional","Co-payments","H"
"167",2005 May,"H02",602834,"Concessional","Co-payments","H"
"168",2005 Jun,"H02",680199,"Concessional","Co-payments","H"
"169",2005 Jul,"H02",590602,"Concessional","Co-payments","H"
"170",2005 Aug,"H02",590708,"Concessional","Co-payments","H"
"171",2005 Sep,"H02",561541,"Concessional","Co-payments","H"
"172",2005 Oct,"H02",452766,"Concessional","Co-payments","H"
"173",2005 Nov,"H02",446520,"Concessional","Co-payments","H"
"174",2005 Dec,"H02",390680,"Concessional","Co-payments","H"
"175",2006 Jan,"H02",401380,"Concessional","Co-payments","H"
"176",2006 Feb,"H02",530751,"Concessional","Co-payments","H"
"177",2006 Mar,"H02",678980,"Concessional","Co-payments","H"
"178",2006 Apr,"H02",606358,"Concessional","Co-payments","H"
"179",2006 May,"H02",715074,"Concessional","Co-payments","H"
"180",2006 Jun,"H02",642774,"Concessional","Co-payments","H"
"181",2006 Jul,"H02",631683,"Concessional","Co-payments","H"
"182",2006 Aug,"H02",648120,"Concessional","Co-payments","H"
"183",2006 Sep,"H02",544132,"Concessional","Co-payments","H"
"184",2006 Oct,"H02",550911,"Concessional","Co-payments","H"
"185",2006 Nov,"H02",452860,"Concessional","Co-payments","H"
"186",2006 Dec,"H02",388380,"Concessional","Co-payments","H"
"187",2007 Jan,"H02",419124,"Concessional","Co-payments","H"
"188",2007 Feb,"H02",535971,"Concessional","Co-payments","H"
"189",2007 Mar,"H02",672838,"Concessional","Co-payments","H"
"190",2007 Apr,"H02",534472,"Concessional","Co-payments","H"
"191",2007 May,"H02",668067,"Concessional","Co-payments","H"
"192",2007 Jun,"H02",675795,"Concessional","Co-payments","H"
"193",2007 Jul,"H02",674929,"Concessional","Co-payments","H"
"194",2007 Aug,"H02",673446.38,"Concessional","Co-payments","H"
"195",2007 Sep,"H02",598643.53,"Concessional","Co-payments","H"
"196",2007 Oct,"H02",518071.57,"Concessional","Co-payments","H"
"197",2007 Nov,"H02",482717.33,"Concessional","Co-payments","H"
"198",2007 Dec,"H02",417563,"Concessional","Co-payments","H"
"199",2008 Jan,"H02",396318,"Concessional","Co-payments","H"
"200",2008 Feb,"H02",636792,"Concessional","Co-payments","H"
"201",2008 Mar,"H02",610162,"Concessional","Co-payments","H"
"202",2008 Apr,"H02",767275,"Concessional","Co-payments","H"
"203",2008 May,"H02",732972,"Concessional","Co-payments","H"
"204",2008 Jun,"H02",631826,"Concessional","Co-payments","H"
"205",1991 Jul,"H02",82929,"Concessional","Safety net","H"
"206",1991 Aug,"H02",100602,"Concessional","Safety net","H"
"207",1991 Sep,"H02",128900,"Concessional","Safety net","H"
"208",1991 Oct,"H02",167932,"Concessional","Safety net","H"
"209",1991 Nov,"H02",188526,"Concessional","Safety net","H"
"210",1991 Dec,"H02",260402,"Concessional","Safety net","H"
"211",1992 Jan,"H02",307291,"Concessional","Safety net","H"
"212",1992 Feb,"H02",34500,"Concessional","Safety net","H"
"213",1992 Mar,"H02",4760,"Concessional","Safety net","H"
"214",1992 Apr,"H02",10911,"Concessional","Safety net","H"
