"","Year","Hare"
"1",1845,19580
"2",1846,19600
"3",1847,19610
"4",1848,11990
"5",1849,28040
"6",1850,58000
"7",1851,74600
"8",1852,75090
"9",1853,88480
"10",1854,61280
"11",1855,74670
"12",1856,88060
"13",1857,68510
"14",1858,32190
"15",1859,12640
"16",1860,21490
"17",1861,30350
"18",1862,2180
"19",1863,152650
"20",1864,148360
"21",1865,85810
"22",1866,41410
"23",1867,14750
"24",1868,2280
"25",1869,5910
"26",1870,9950
"27",1871,10440
"28",1872,70640
"29",1873,50120
"30",1874,50130
"31",1875,101250
"32",1876,97120
"33",1877,86510
"34",1878,72170
"35",1879,38320
"36",1880,10110
"37",1881,7740
"38",1882,9670
"39",1883,43120
"40",1884,52210
"41",1885,134850
"42",1886,134860
"43",1887,103790
"44",1888,46100
"45",1889,15030
"46",1890,24200
"47",1891,41650
"48",1892,52340
"49",1893,53780
"50",1894,70400
"51",1895,85810
"52",1896,56690
"53",1897,16590
"54",1898,6160
"55",1899,2300
"56",1900,12820
"57",1901,4720
"58",1902,4730
"59",1903,37220
"60",1904,69720
"61",1905,57780
"62",1906,28680
"63",1907,23370
"64",1908,21540
"65",1909,26340
"66",1910,53100
"67",1911,68480
"68",1912,75580
"69",1913,57920
"70",1914,40970
"71",1915,24950
"72",1916,12590
"73",1917,4970
"74",1918,4500
"75",1919,11210
"76",1920,56600
"77",1921,69630
"78",1922,77740
"79",1923,80530
"80",1924,73380
"81",1925,36930
"82",1926,4640
"83",1927,2540
"84",1928,1800
"85",1929,2390
"86",1930,4230
"87",1931,19520
"88",1932,82110
"89",1933,89760
"90",1934,81660
"91",1935,15760
