"","Month","Title","Employed"
"1",1939 Jan,"Total Private",25338
"2",1939 Feb,"Total Private",25447
"3",1939 Mar,"Total Private",25833
"4",1939 Apr,"Total Private",25801
"5",1939 May,"Total Private",26113
"6",1939 Jun,"Total Private",26485
"7",1939 Jul,"Total Private",26481
"8",1939 Aug,"Total Private",26848
"9",1939 Sep,"Total Private",27468
"10",1939 Oct,"Total Private",27830
"11",1939 Nov,"Total Private",27740
"12",1939 Dec,"Total Private",27886
"13",1940 Jan,"Total Private",26847
"14",1940 Feb,"Total Private",26902
"15",1940 Mar,"Total Private",27205
"16",1940 Apr,"Total Private",27255
"17",1940 May,"Total Private",27535
"18",1940 Jun,"Total Private",27765
"19",1940 Jul,"Total Private",27789
"20",1940 Aug,"Total Private",28332
"21",1940 Sep,"Total Private",29007
"22",1940 Oct,"Total Private",29399
"23",1940 Nov,"Total Private",29619
"24",1940 Dec,"Total Private",30221
"25",1941 Jan,"Total Private",29402
"26",1941 Feb,"Total Private",29671
"27",1941 Mar,"Total Private",30079
"28",1941 Apr,"Total Private",30610
"29",1941 May,"Total Private",31379
"30",1941 Jun,"Total Private",31999
"31",1941 Jul,"Total Private",32545
"32",1941 Aug,"Total Private",33014
"33",1941 Sep,"Total Private",33417
"34",1941 Oct,"Total Private",33457
"35",1941 Nov,"Total Private",33367
"36",1941 Dec,"Total Private",33552
"37",1942 Jan,"Total Private",32660
"38",1942 Feb,"Total Private",32739
"39",1942 Mar,"Total Private",33240
"40",1942 Apr,"Total Private",33764
"41",1942 May,"Total Private",34203
"42",1942 Jun,"Total Private",34624
"43",1942 Jul,"Total Private",35065
"44",1942 Aug,"Total Private",35460
"45",1942 Sep,"Total Private",35771
"46",1942 Oct,"Total Private",35852
"47",1942 Nov,"Total Private",35867
"48",1942 Dec,"Total Private",36209
"49",1943 Jan,"Total Private",35494
"50",1943 Feb,"Total Private",35627
"51",1943 Mar,"Total Private",35955
"52",1943 Apr,"Total Private",36212
"53",1943 May,"Total Private",36202
"54",1943 Jun,"Total Private",36608
"55",1943 Jul,"Total Private",36637
"56",1943 Aug,"Total Private",36628
"57",1943 Sep,"Total Private",36584
"58",1943 Oct,"Total Private",36658
"59",1943 Nov,"Total Private",36810
"60",1943 Dec,"Total Private",36815
"61",1944 Jan,"Total Private",36018
"62",1944 Feb,"Total Private",35973
"63",1944 Mar,"Total Private",35948
"64",1944 Apr,"Total Private",35833
"65",1944 May,"Total Private",35768
"66",1944 Jun,"Total Private",35949
"67",1944 Jul,"Total Private",35861
"68",1944 Aug,"Total Private",35828
"69",1944 Sep,"Total Private",35652
"70",1944 Oct,"Total Private",35555
"71",1944 Nov,"Total Private",35597
"72",1944 Dec,"Total Private",35850
"73",1945 Jan,"Total Private",35229
"74",1945 Feb,"Total Private",35290
"75",1945 Mar,"Total Private",35411
"76",1945 Apr,"Total Private",35161
"77",1945 May,"Total Private",35024
"78",1945 Jun,"Total Private",35065
"79",1945 Jul,"Total Private",34769
"80",1945 Aug,"Total Private",34490
"81",1945 Sep,"Total Private",32760
"82",1945 Oct,"Total Private",32833
"83",1945 Nov,"Total Private",33354
"84",1945 Dec,"Total Private",33755
"85",1946 Jan,"Total Private",33656
"86",1946 Feb,"Total Private",33092
"87",1946 Mar,"Total Private",34240
"88",1946 Apr,"Total Private",34997
"89",1946 May,"Total Private",35409
"90",1946 Jun,"Total Private",36074
"91",1946 Jul,"Total Private",36474
"92",1946 Aug,"Total Private",37139
"93",1946 Sep,"Total Private",37532
"94",1946 Oct,"Total Private",37637
"95",1946 Nov,"Total Private",38045
"96",1946 Dec,"Total Private",38351
"97",1947 Jan,"Total Private",37510
"98",1947 Feb,"Total Private",37495
"99",1947 Mar,"Total Private",37720
"100",1947 Apr,"Total Private",37686
"101",1947 May,"Total Private",37772
"102",1947 Jun,"Total Private",38249
"103",1947 Jul,"Total Private",38186
"104",1947 Aug,"Total Private",38660
"105",1947 Sep,"Total Private",39077
"106",1947 Oct,"Total Private",39197
"107",1947 Nov,"Total Private",39283
"108",1947 Dec,"Total Private",39708
"109",1948 Jan,"Total Private",38617
"110",1948 Feb,"Total Private",38344
"111",1948 Mar,"Total Private",38624
"112",1948 Apr,"Total Private",38368
"113",1948 May,"Total Private",38728
"114",1948 Jun,"Total Private",39240
"115",1948 Jul,"Total Private",39355
"116",1948 Aug,"Total Private",39674
"117",1948 Sep,"Total Private",40012
"118",1948 Oct,"Total Private",39881
"119",1948 Nov,"Total Private",39763
"120",1948 Dec,"Total Private",39946
"121",1949 Jan,"Total Private",38282
"122",1949 Feb,"Total Private",37932
"123",1949 Mar,"Total Private",37785
"124",1949 Apr,"Total Private",37857
"125",1949 May,"Total Private",37625
"126",1949 Jun,"Total Private",37747
"127",1949 Jul,"Total Private",37558
"128",1949 Aug,"Total Private",37984
"129",1949 Sep,"Total Private",38365
"130",1949 Oct,"Total Private",37487
"131",1949 Nov,"Total Private",37729
"132",1949 Dec,"Total Private",38370
"133",1950 Jan,"Total Private",37056
"134",1950 Feb,"Total Private",36649
"135",1950 Mar,"Total Private",37281
"136",1950 Apr,"Total Private",37842
"137",1950 May,"Total Private",38299
"138",1950 Jun,"Total Private",39063
"139",1950 Jul,"Total Private",39369
"140",1950 Aug,"Total Private",40384
"141",1950 Sep,"Total Private",40805
"142",1950 Oct,"Total Private",40989
"143",1950 Nov,"Total Private",40948
"144",1950 Dec,"Total Private",41316
"145",1951 Jan,"Total Private",40337
"146",1951 Feb,"Total Private",40449
"147",1951 Mar,"Total Private",40851
"148",1951 Apr,"Total Private",40988
"149",1951 May,"Total Private",41186
"150",1951 Jun,"Total Private",41606
"151",1951 Jul,"Total Private",41546
"152",1951 Aug,"Total Private",41874
"153",1951 Sep,"Total Private",41975
"154",1951 Oct,"Total Private",41958
"155",1951 Nov,"Total Private",41970
"156",1951 Dec,"Total Private",42389
"157",1952 Jan,"Total Private",41064
"158",1952 Feb,"Total Private",41109
"159",1952 Mar,"Total Private",41222
"160",1952 Apr,"Total Private",41557
"161",1952 May,"Total Private",41614
"162",1952 Jun,"Total Private",41637
"163",1952 Jul,"Total Private",41441
"164",1952 Aug,"Total Private",42574
"165",1952 Sep,"Total Private",43146
"166",1952 Oct,"Total Private",43312
"167",1952 Nov,"Total Private",43495
"168",1952 Dec,"Total Private",44008
"169",1953 Jan,"Total Private",42667
"170",1953 Feb,"Total Private",42736
"171",1953 Mar,"Total Private",43054
"172",1953 Apr,"Total Private",43266
"173",1953 May,"Total Private",43457
"174",1953 Jun,"Total Private",43877
"175",1953 Jul,"Total Private",43873
"176",1953 Aug,"Total Private",44098
"177",1953 Sep,"Total Private",44168
"178",1953 Oct,"Total Private",44008
"179",1953 Nov,"Total Private",43664
"180",1953 Dec,"Total Private",43757
"181",1954 Jan,"Total Private",42002
"182",1954 Feb,"Total Private",41752
"183",1954 Mar,"Total Private",41691
"184",1954 Apr,"Total Private",41956
"185",1954 May,"Total Private",41837
"186",1954 Jun,"Total Private",42177
"187",1954 Jul,"Total Private",42047
"188",1954 Aug,"Total Private",42305
"189",1954 Sep,"Total Private",42540
"190",1954 Oct,"Total Private",42581
"191",1954 Nov,"Total Private",42742
"192",1954 Dec,"Total Private",43187
"193",1955 Jan,"Total Private",41824
"194",1955 Feb,"Total Private",41829
"195",1955 Mar,"Total Private",42304
"196",1955 Apr,"Total Private",42835
"197",1955 May,"Total Private",43231
"198",1955 Jun,"Total Private",43939
"199",1955 Jul,"Total Private",44039
"200",1955 Aug,"Total Private",44476
"201",1955 Sep,"Total Private",44758
"202",1955 Oct,"Total Private",44873
"203",1955 Nov,"Total Private",45054
"204",1955 Dec,"Total Private",45507
"205",1956 Jan,"Total Private",44092
"206",1956 Feb,"Total Private",44030
"207",1956 Mar,"Total Private",44250
"208",1956 Apr,"Total Private",44590
"209",1956 May,"Total Private",44845
"210",1956 Jun,"Total Private",45414
"211",1956 Jul,"Total Private",44671
"212",1956 Aug,"Total Private",45596
"213",1956 Sep,"Total Private",45715
"214",1956 Oct,"Total Private",45855
"215",1956 Nov,"Total Private",45820
"216",1956 Dec,"Total Private",46169
"217",1957 Jan,"Total Private",44554
"218",1957 Feb,"Total Private",44483
"219",1957 Mar,"Total Private",44632
"220",1957 Apr,"Total Private",44976
"221",1957 May,"Total Private",45152
"222",1957 Jun,"Total Private",45600
"223",1957 Jul,"Total Private",45528
"224",1957 Aug,"Total Private",45830
"225",1957 Sep,"Total Private",45817
"226",1957 Oct,"Total Private",45605
"227",1957 Nov,"Total Private",45323
"228",1957 Dec,"Total Private",45320
"229",1958 Jan,"Total Private",43532
"230",1958 Feb,"Total Private",42732
"231",1958 Mar,"Total Private",42534
"232",1958 Apr,"Total Private",42568
"233",1958 May,"Total Private",42779
"234",1958 Jun,"Total Private",43277
"235",1958 Jul,"Total Private",43291
"236",1958 Aug,"Total Private",43736
"237",1958 Sep,"Total Private",44152
"238",1958 Oct,"Total Private",44060
"239",1958 Nov,"Total Private",44408
"240",1958 Dec,"Total Private",44689
"241",1959 Jan,"Total Private",43613
"242",1959 Feb,"Total Private",43497
"243",1959 Mar,"Total Private",43919
"244",1959 Apr,"Total Private",44591
"245",1959 May,"Total Private",45202
"246",1959 Jun,"Total Private",45903
"247",1959 Jul,"Total Private",45927
"248",1959 Aug,"Total Private",45746
"249",1959 Sep,"Total Private",45868
"250",1959 Oct,"Total Private",45674
"251",1959 Nov,"Total Private",45800
"252",1959 Dec,"Total Private",46441
"253",1960 Jan,"Total Private",45135
"254",1960 Feb,"Total Private",45060
"255",1960 Mar,"Total Private",44932
"256",1960 Apr,"Total Private",45711
"257",1960 May,"Total Private",45889
"258",1960 Jun,"Total Private",46344
"259",1960 Jul,"Total Private",46241
"260",1960 Aug,"Total Private",46446
"261",1960 Sep,"Total Private",46435
"262",1960 Oct,"Total Private",46214
"263",1960 Nov,"Total Private",45870
"264",1960 Dec,"Total Private",45702
"265",1961 Jan,"Total Private",44208
"266",1961 Feb,"Total Private",43785
"267",1961 Mar,"Total Private",44037
"268",1961 Apr,"Total Private",44464
"269",1961 May,"Total Private",44994
"270",1961 Jun,"Total Private",45771
"271",1961 Jul,"Total Private",45846
"272",1961 Aug,"Total Private",46221
"273",1961 Sep,"Total Private",46304
"274",1961 Oct,"Total Private",46283
"275",1961 Nov,"Total Private",46333
"276",1961 Dec,"Total Private",46542
"277",1962 Jan,"Total Private",45060
"278",1962 Feb,"Total Private",45096
"279",1962 Mar,"Total Private",45345
"280",1962 Apr,"Total Private",46172
"281",1962 May,"Total Private",46566
"282",1962 Jun,"Total Private",47155
"283",1962 Jul,"Total Private",47211
"284",1962 Aug,"Total Private",47470
"285",1962 Sep,"Total Private",47613
"286",1962 Oct,"Total Private",47498
"287",1962 Nov,"Total Private",47288
"288",1962 Dec,"Total Private",47380
"289",1963 Jan,"Total Private",45889
"290",1963 Feb,"Total Private",45769
"291",1963 Mar,"Total Private",46048
"292",1963 Apr,"Total Private",46832
"293",1963 May,"Total Private",47241
"294",1963 Jun,"Total Private",47892
"295",1963 Jul,"Total Private",47986
"296",1963 Aug,"Total Private",48228
"297",1963 Sep,"Total Private",48364
"298",1963 Oct,"Total Private",48348
"299",1963 Nov,"Total Private",48121
"300",1963 Dec,"Total Private",48355
"301",1964 Jan,"Total Private",46879
"302",1964 Feb,"Total Private",46959
"303",1964 Mar,"Total Private",47275
"304",1964 Apr,"Total Private",47812
"305",1964 May,"Total Private",48326
"306",1964 Jun,"Total Private",49110
"307",1964 Jul,"Total Private",49275
"308",1964 Aug,"Total Private",49558
"309",1964 Sep,"Total Private",49778
"310",1964 Oct,"Total Private",49459
"311",1964 Nov,"Total Private",49673
"312",1964 Dec,"Total Private",50056
"313",1965 Jan,"Total Private",48603
"314",1965 Feb,"Total Private",48632
"315",1965 Mar,"Total Private",49014
"316",1965 Apr,"Total Private",49753
"317",1965 May,"Total Private",50284
"318",1965 Jun,"Total Private",51146
"319",1965 Jul,"Total Private",51301
"320",1965 Aug,"Total Private",51604
"321",1965 Sep,"Total Private",51761
"322",1965 Oct,"Total Private",51796
"323",1965 Nov,"Total Private",51901
"324",1965 Dec,"Total Private",52405
"325",1966 Jan,"Total Private",50964
"326",1966 Feb,"Total Private",51015
"327",1966 Mar,"Total Private",51550
"328",1966 Apr,"Total Private",52234
"329",1966 May,"Total Private",52747
"330",1966 Jun,"Total Private",53811
"331",1966 Jul,"Total Private",53847
"332",1966 Aug,"Total Private",54122
"333",1966 Sep,"Total Private",54142
"334",1966 Oct,"Total Private",54147
"335",1966 Nov,"Total Private",54177
"336",1966 Dec,"Total Private",54562
"337",1967 Jan,"Total Private",53092
"338",1967 Feb,"Total Private",52928
"339",1967 Mar,"Total Private",53218
"340",1967 Apr,"Total Private",53596
"341",1967 May,"Total Private",53975
"342",1967 Jun,"Total Private",54826
"343",1967 Jul,"Total Private",54835
"344",1967 Aug,"Total Private",55148
"345",1967 Sep,"Total Private",55078
"346",1967 Oct,"Total Private",54983
"347",1967 Nov,"Total Private",55391
"348",1967 Dec,"Total Private",55804
"349",1968 Jan,"Total Private",54017
"350",1968 Feb,"Total Private",54266
"351",1968 Mar,"Total Private",54565
"352",1968 Apr,"Total Private",55252
"353",1968 May,"Total Private",55563
"354",1968 Jun,"Total Private",56531
"355",1968 Jul,"Total Private",56569
"356",1968 Aug,"Total Private",56864
"357",1968 Sep,"Total Private",56939
"358",1968 Oct,"Total Private",57025
"359",1968 Nov,"Total Private",57277
"360",1968 Dec,"Total Private",57735
"361",1969 Jan,"Total Private",56234
"362",1969 Feb,"Total Private",56349
"363",1969 Mar,"Total Private",56813
"364",1969 Apr,"Total Private",57409
"365",1969 May,"Total Private",57866
"366",1969 Jun,"Total Private",58903
"367",1969 Jul,"Total Private",58821
"368",1969 Aug,"Total Private",59195
"369",1969 Sep,"Total Private",59059
"370",1969 Oct,"Total Private",59106
"371",1969 Nov,"Total Private",59049
"372",1969 Dec,"Total Private",59372
"373",1970 Jan,"Total Private",57675
"374",1970 Feb,"Total Private",57653
"375",1970 Mar,"Total Private",57995
"376",1970 Apr,"Total Private",58239
"377",1970 May,"Total Private",58299
"378",1970 Jun,"Total Private",58998
"379",1970 Jul,"Total Private",58752
"380",1970 Aug,"Total Private",58770
"381",1970 Sep,"Total Private",58739
"382",1970 Oct,"Total Private",58160
"383",1970 Nov,"Total Private",58006
"384",1970 Dec,"Total Private",58532
"385",1971 Jan,"Total Private",56979
"386",1971 Feb,"Total Private",56791
"387",1971 Mar,"Total Private",57094
"388",1971 Apr,"Total Private",57673
"389",1971 May,"Total Private",58147
"390",1971 Jun,"Total Private",58894
"391",1971 Jul,"Total Private",58664
